DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
21/10/2015,605.86,604.34,609.32,603.98,38624260
22/10/2015,603.84,609.78,611.06,603.84,34926752
23/10/2015,613.49,616.07,617.16,613.12,37658680
26/10/2015,619.09,612.21,622.09,612.21,37792049
27/10/2015,611.09,611.57,614.47,608.89,32716430
28/10/2015,612.25,609.68,615.05,609.51,42883732
29/10/2015,610.56,618.01,618.01,610.56,37848470
30/10/2015,618.41,619.21,620.37,615.66,31273107
2/11/2015,619.89,613.19,621.94,613.19,43672723
3/11/2015,613.48,623.85,623.85,611.3,45042350
4/11/2015,626.75,621.35,630.6,621.35,43891547
5/11/2015,619.95,625.71,627.17,619.93,27804405
6/11/2015,626.15,622.67,630.36,620.02,41077990
9/11/2015,623.5,619.44,623.5,619.21,56864770
10/11/2015,619.26,614.56,619.95,614.1,47670830
11/11/2015,613.81,612.71,619.59,612.71,32172060
12/11/2015,612.12,614.39,614.39,603.06,59294954
13/11/2015,613.13,622.34,622.34,613.13,59113091
16/11/2015,620.95,619.14,622.51,615.42,49028700
17/11/2015,618.62,614.39,620.89,614.13,73767808
18/11/2015,613.24,612.25,617.19,611.21,45376100
19/11/2015,613.73,609.05,615.12,609.05,41438120
20/11/2015,608.86,611.16,614.03,608.12,48483760
23/11/2015,611.14,606.93,615.96,606.93,46797010
24/11/2015,607.48,600.21,607.48,597.01,64741401
25/11/2015,599.38,602.67,603.72,593.58,62676430
26/11/2015,601.97,598.04,603.46,598.04,45843010
27/11/2015,596.93,590.59,599.63,590.59,57965420
30/11/2015,589.57,581.94,589.76,580.53,58417500
1/12/2015,582.74,579.06,586.14,579.06,46327964
2/12/2015,579.54,583.94,586.15,579.54,44413500
3/12/2015,583.57,585.23,587.27,583.5,34558020
4/12/2015,585.13,582.96,585.14,578.88,27896550
7/12/2015,581.62,575.34,581.8,574.73,28689287
8/12/2015,574.21,584.85,584.85,568.51,47738910
9/12/2015,584.48,574.54,587.62,574.54,42398350
10/12/2015,575.37,572.5,578.1,572.5,44459250
11/12/2015,572.39,578.01,580.73,571.7,37105370
14/12/2015,581.57,579.42,582.93,577.68,57696150
15/12/2015,580.59,582.28,584.57,580.07,37033130
16/12/2015,584.14,583.97,588.21,582.58,28531720
17/12/2015,587.74,586.47,590.01,584.23,29672966
18/12/2015,585.89,578.85,587.76,578.85,124023990
21/12/2015,581.36,577.73,581.92,576.12,47393638
22/12/2015,578.18,576.8,580.64,575.71,26950004
23/12/2015,575.43,575.46,578.36,572.22,35422050
24/12/2015,575.86,576.71,578.1,575.11,20515830
25/12/2015,577.98,579.32,581.69,577.63,39965088
28/12/2015,583.14,583.16,586.52,582.58,57297610
29/12/2015,582.71,589.43,589.43,579.18,51012530
30/12/2015,589.93,594.8,594.8,587.81,30984840
31/12/2015,594.21,595.57,595.57,590.37,47400008
4/1/2016,593.31,589.91,594.68,587.94,43431474
5/1/2016,586.93,583.62,589.65,583.06,39540580
6/1/2016,582.81,589.97,589.97,582.81,43397000
7/1/2016,589.12,582.3,589.12,577.19,54020210
8/1/2016,578.97,575.96,579.97,571.96,50471570
11/1/2016,574.95,573.72,579.24,573.02,43517834
12/1/2016,574.23,582.39,582.39,574.23,44400861
13/01/2016,583.37,578.63,584.03,577.29,64259835
14/01/2016,571.02,569.17,573.73,565.79,81637244
15/01/2016,570.33,555.76,572.27,555.76,60819380
18/01/2016,543.44,541.18,543.44,531.92,74247710
19/01/2016,541.43,550.29,550.29,541.43,48612580
20/01/2016,546.69,544.24,551.88,543.59,63815940
21/01/2016,541.34,538.53,548.09,537.88,65114550
22/01/2016,541.84,539.37,542.4,531.53,77046870
25/01/2016,546.87,562.19,562.22,546.87,79316400
26/01/2016,553.09,554.52,560.05,549.32,62796949
27/01/2016,558.65,558.98,561.94,557.01,51897394
28/01/2016,558.65,556.86,562.45,555.73,47146372
29/01/2016,557.31,561.61,562.79,554.63,53673420
1/2/2016,562.4,557.98,565.79,557.98,38166650
2/2/2016,555.13,555.09,559.8,553.76,30894510
3/2/2016,552.09,556.53,556.53,549.01,36613040
4/2/2016,560,561.22,562.88,559.33,29655494
5/2/2016,560.01,563.97,565.97,560.01,23741664
15/02/2016,558.64,559.19,561.48,554.24,28647649
16/02/2016,560.98,562.32,564.21,560.95,43142610
17/02/2016,565.69,561.1,567.31,561.1,53117430
18/02/2016,564.27,566.85,569.38,563.16,49276330
19/02/2016,566.68,567.51,568.97,565.25,77386990
22/02/2016,567.87,574.37,576.63,567.87,73633710
23/02/2016,579.62,573.78,580.05,573.47,76277860
24/02/2016,571.54,578.87,581.76,570.14,66192570
25/02/2016,580.63,573.02,583.87,573.02,73168802
26/02/2016,574.12,577.71,577.73,572.17,34788584
29/02/2016,576.98,570.66,577.74,570.66,45988550
1/3/2016,570.88,572.99,576.3,570.88,45791030
2/3/2016,575.95,579.17,579.61,573.27,48621717
3/3/2016,582.26,579.11,582.43,578.55,48774050
4/3/2016,579.08,580.94,583.73,577.53,44022270
7/3/2016,582.6,582.6,587.91,582.31,55768420
8/3/2016,583.29,582.54,585.67,582.08,53541240
9/3/2016,582.45,581.25,585.48,580.52,39949174
10/3/2016,582.95,583.77,583.79,580.19,39057337
11/3/2016,583.93,583.89,588.46,582.54,49269325
14/03/2016,586.63,587.09,587.93,584.06,90894235
15/03/2016,586.45,583.02,588.05,581.72,60899224
16/03/2016,582.95,583.79,585.31,581.4,52578363
17/03/2016,588.62,586.47,590.98,586.37,68950503
18/03/2016,587.13,581.95,587.92,581.95,116320691
21/03/2016,582.85,579.95,587.78,579.95,65259080
22/03/2016,580.01,577.97,580.67,575.68,38899605
23/03/2016,577.77,580.6,581.74,577.25,51277670
24/03/2016,579.84,577.31,584.36,577.31,57556460
25/03/2016,576.64,578.24,579.84,571.71,57545690
28/03/2016,578.45,582.37,582.82,577.46,37798290
